id	type	code	report	target	specimen	analyzedgene	method	comment	comment1	comment2	Mutation_Comment
269	SEQ	LPC100	BRCA1 Gene Analysis Report	Inherited Breast-Ovarian Cancer	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	BRCA1 on 17q21.31	*Direct sequencing for whole exons including intron-exon boundaries	"BRCA1 유전자 변이는 NM_007294.3 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"유전성 유방암/난소암 증후군은 유전성 암 중 가장 높은 빈도를 차지하는 증후군으로, 전체 여성 유방암의 5%-10% 그리고 전체 난소암의 12%에 해당합니다. 일반적인 여성에서의 유방암과 난소암 발병률은 약 11% 와 1%이지만 본 증후군을 가진 사람에서는 유방암의 발병률이 56%-87%, 난소암의 발병률이 23%-45%로 증가하게 됩니다. 또한 이 질환은 유방암, 난소암 외에도 남성 유방암, 췌장암, 대장암, 그리고 전립선암의 발병률도 증가하게 됩니다. 유전성 유방암/난소암 증후군은 BRCA1과 BRCA2 유전자의 배선 돌연변이에 의해 발생하며 가족력이 있는 경우, 조기에 발병한 경우, 두 군데 이상의 암을 진단 받았을 경우에 변이가 동반될 확률이 높습니다. 돌연변이를 가지고 있는 보인자로 판단되는 경우 암 예방을 위한 효과적 방법들(유방암 조기검진의 강화, 화학예방요법, 예방적 수술)을 통해 난소암과 유방암의 발병률을 현격하게 감소시킬 수 있습니다."	"본 검사에서 발견된 변이와 상기 질환과의 연관성은 결과 보고 시점의 문헌 검토와 public database를 바탕으로 판단합니다. 관찰된 변이는 ACMG 가이드라인에 맞춰 분류하며 (Richards S. et al., Genet Med. 2015;17:405-24.), 5단계 염기변이 분류 기준 중 미분류 염기변이 (VUS, variant of unknown significance) 이상의 임상적 의의를 갖는 변이 (Pathogenic, Likely Pathogenic, VUS) 를 보고하고 있습니다. 일부 변이는 후속 연구를 통하여 임상적 의의가 재분류 될 수 있고 추후 분류가 수정될 수 있습니다."	
270	SEQ	LPE229	TGFBI Gene Sequencing Analysis Report								
271	SEQ	LPC194	RUNX1 Gene Sequencing Analysis Report								
272	SEQ	LPE141	FBN1 Gene Sequencing Analysis Report								
273	SEQ	LPE241	NF2 Gene Sequencing Analysis Report								
274	SEQ	LPE115	LDLR Gene Sequencing Analysis Report	"Hypercholesterolemia, familial # 143890"	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	LDLR on 19P13.2	*Direct sequencing for whole exons including intron-exon boundaries	"LDLR 유전자 변이는 NM_0000527.4 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"가족성 고콜레스테롤 혈증은 상염색체 우성 유전질환으로 저밀도 지단백 콜레스테롤의 상승과 이로 인해 조기에 동맥경화성 관상동맥 질환이 특징적입니다. 가족성 고콜레스테롤 혈증의 약 70-95%에서 세 가지 유전자(APOB, LDLR, PCSK9) 중 하나에서 질병연관 돌연변이가 이형접합형태로 발견되며, LDLR 유전자의 변이는 가족성 고콜레스테롤혈증 환자의 60-80%에서 관찰됩니다."	"본 검사는 reference sequence NM_0000527.4를 기준으로 LDLR 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다. 본 검사는 LDLR 변이의 약 90%에 해당하는 대부분의 돌연변이를 검출할 수 있으나, 약 2.5-10%에 해당하는 LDLR 유전자의 결손 및 중복은 본 검사로는 확인할 수 없습니다."	
275	SEQ	LPE233	ELA2 Gene Sequencing Analysis Report								
276	SEQ	LPE275	PKD 1 Gene Sequencing Analysis Report								
277	SEQ	LPE236	SCN5A Gene Sequencing Analysis Report								
278	SEQ	LPE272	WAS Gene Sequencing Analysis Report								
279	SEQ	LPE251	STK11 Gene Sequencing Analysis Report								
280	SEQ	LPE238	KCNQ1 Gene Sequencing Analysis Report								
281	SEQ	LPE243	NOTCH3 Gene Sequencing Analysis Report	CADASIL (cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	NOTCH3 on 19p13.12	*Direct sequencing for 25 exons including intron-exon boundaries	"NOTCH3 유전자 변이는 NM_000435.2 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"CADASIL은 편두통, 정서 장애와 함께 뇌졸중이 계속 재발하면서 치매를 야기하는 진행성 질환으로 다양한 신경학적 후유증을 야기하고 수명도 단축시키는 상염색체 우성 유전질환입니다. 대부분의 환자들은 부모로부터 유전되며 de novo mutation은 드문 것으로 알려져 있습니다. CADASIL의 원인 유전자인 NOTCH3는 2,321개의 아미노산을 부호화하는 33개의 exon으로 구성되어 있으며 NOTCH3 유전자의 질병연관변이는 대부분 exon 1-23에서 보고되어 있는데 특히 exon 3, 4, 5, 6, 11에서 대부분의 돌연변이가 분포되어 있습니다."	본 검사는 NOTCH3 유전자의 exon 1-25의 coding exon과 인접 intron 부위의 염기서열을 직접염기서열분석법으로 확인하는 검사입니다. 본 NOTCH3 유전자의 직접염기서열분석검사는 CADASIL 환자에서 약 95%의 검출률을 보이는 것으로 알려져 있습니다.	
282	Genetic	LPE499	다낭성 신장질환 [NGS]	Polycystic Kidney Disease (3 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
283	SEQ	LPE295	TP53 Gene Sequencing Analysis Report								
284	SEQ	LPE308	PTEN Gene Sequencing Analysis Report								
285	SEQ	LPE306	HNF1A Gene Sequencing Analysis Report								
286	SEQ	LPE287	RET Gene Sequencing Analysis Report	Multiple endocrine neoplasia 2	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	RET on 10q11.2	"*Direct sequencing for exon 8,10,11,13,14,15,16 including intron-exon boundaries"	"RET 유전자 변이는 NM_020630.4 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"갑상선 수질암은 모든 갑상선 암의 약 1～5%를 차지하는 드문 악성 종양으로, 약 75%에서는 산발적으로 발생하며, 25%에서는 유전성으로 발생됩니다. 유전성 갑상선 수질암은 proto-oncogene인 RET 유전자의 질병연관변이에 의하여 발생하는 상염색체우성 유전질환이며 종양발생양상에 따라 MEN2A, Familial medullary thyroid carcinoma (FMTC), MEN2B로 분류하며, 각 형별로 특징적인 질병연관변이 위치가 있어서 MEN2A는 exon 10, 11, MEN2B는 exon 15, 16, FMTC는 exon 8, 10, 11, 13, 14에서 질병연관변이가 호발합니다. MEN2A 가족의 95% 이상에서 RET 유전자의 germ line mutation이 동반되며, 질병연관변이는 주로 티로신인산화 효소 수용체 세포외 영역의 cysteine rich domain에 위치하며 exon 10의 codon 609, 611, 618, 620과 exon 11의 codon 634에서 발생합니다. "	"본 검사는 reference sequence NM_020630.4을 기준으로 RET 유전자의 exon 8, 10, 11, 13, 14, 15, 16 및 인접 flanking region의 염기서열을 직접염기서열법으로 분석하는 방법입니다."	
287	SEQ	LPE343	MUTYH Gene Sequencing Analysis Report								
288	SEQ	LPE349	HBB Gene Sequencing Analysis Report								
289	SEQ	LPE247	BTK Gene Sequencing Analysis Report								
290	SEQ	LPE262	APC Gene Sequencing Analysis Report								
291	SEQ	LPE258	TSC2 Gene Sequencing Analysis Report								
292	SEQ	LPE334	MAPT Gene Sequencing Analysis Report								
293	SEQ	LPE358	ASXL1 Gene Sequencing Analysis Report								
294	SEQ	LPE352	SPTB Gene Sequencing Analysis Report								
295	SEQ	LPE364	TET2 Gene Sequencing Analysis Report								
296	SEQ	LPE267	PTPN11 Gene Sequencing Analysis Report								
297	SEQ	LPE391	HBA1 Gene Sequencing Analysis Report								
298	SEQ	LPE384	G6PD Gene Sequencing Analysis Report								
299	SEQ	LPE374	TGFBR1 Gene Sequencing Analysis Report								
300	SEQ	LPE379	PANK2 Gene Sequencing Analysis Report								
301	SEQ	LPE469	TTR Gene Sequencing Analysis Report	Transthyretin-related hereditary amyloidosis (MIM# 105210)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	TTR on 18q12.1	*Direct sequencing for whole exons including intron-exon boundaries	"TTR 유전자 변이는 NM_000371.3 reference sequence를 기준으로 기술하였습니다. *Sequencing has an analytical sensitivity of approximately 99% for the detection of nucleotide base alterations, small deletions and insertions, but it does not detect large deletions. Low-level mosaicism will not be detected by routine sequencing methodologies. Only the coding and immediate flanking regions of genes are analyzed, new splice sites, changes in the promoter region, and other non-coding or regulatory region will not be detected."	"Transthyrerin 관련 유전성 아밀로이드증은 상염색체 우성으로 유전되며, 여러 장기 및 조직에 서서히 비정상 아밀로이드 단백이 침착되는 질환으로, 아밀로이드 단백이 침착되는 부위에 따라 다양한 임상증상을 나타낼 수 있습니다. 아밀로이드 단백이 말초신경에 주로 침착될 경우 자율신경장애나 기립성 저혈압, 혹은 손목터널증후군(Carpal tunnel syndrome) 등의 증상을 보일 수 있고, 중주신경계를 침범할 경우 수두증, 운동실조(ataxia), 강직성 마비(spastic paralysis), 발작, 치매 혹은 뇌졸중 등의 임상양상을 나타낼 수 있습니다. 아밀로이드 단백이 주로 심장에 영향을 주었을 경우에는 부정맥이나 심근증 등이 발생할 수 있습니다. 현재까지 보고된 아밀로이드증을 일으키는 TTR 유전자의 돌연변이는 대부분이 단일염기치환에 의한 missense/nonsense mutation으로 알려져 있습니다."	본 검사는 reference sequence NM_000371.3을 기준으로 TTR 유전자의 coding exon 및 인접 intron 부위의 염기서열을 직접염기서열분석법으로 확인하는 검사입니다. 	
302	SEQ	LPE433	PRRT2 Gene Sequencing Analysis Report								
303	SEQ	LPE477	GNAS Gene Sequencing Analysis Report								
304	SEQ	LPE428	MLL2 Gene Sequencing Analysis Report								
305	SEQ	LPE280	FGFR2 Gene Sequencing Analysis Report								
306	MLPA	LPE232	DMD Gene MLPA Analysis Report	Duchenne muscular dystrophy (DMD) (MIM #310200)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen	DMD on Xp21.2-p21.1	*Multiplex Ligation-dependent Probe Amplification (MLPA)		"듀센형 근이영양증은 X 성염색체 열성으로 유전되는 가장 흔한 신경근육계 유전질환으로 남아의 경우 3,500명 중 1명의 빈도로 발병하며 30%는 가족력이 없는 가계에서 발생할 수도 있습니다. 환자 중 70%는 DMD 유전자의 결실, 중복으로 질환이 발병하며, 30%는 단일염기치환에 의한 돌연변이가 원인인 것으로 알려져 있습니다. "	"* MLPA is designed to detect deletions/duplications of one or more sequences in the DMD gene in a DNA sample. Deletions of a probe’s recognition sequence on the X-chromosome will lead to a complete absence of the corresponding probe amplification product in males, whereas female heterozygotes are recognizable by a 35-50% reduction in relative peak area. Note that a mutation or polymorphism in the sequence detected by a probe can also cause a reduction in relative peak area, even when not located exactly on the ligation site! In addition, some probe signals are more sensitive to sample purity and small changes in experimental conditions. Therefore, deletions and duplications detected by MLPA should always be confirmed by other methods. Not all deletions and duplications detected by MLPA will be pathogenic; users should always verify the latest scientific literature when interpreting their findings. Note that other defects such as small point mutations will not be detected by this MLPA test."	
