id	type	code	report	target	specimen	analyzedgene	method	comment1	comment2
142	SEQ	LPC100	BRCA1 Gene Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
144	SEQ	LPC194	RUNX1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
145	SEQ	LPE115	LDLR Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
150	SEQ	LPE233	ELA2 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
154	SEQ	LPE236	SCN5A Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
156	SEQ	LPE238	KCNQ1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
158	SEQ	LPE247	BTK Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
163	SEQ	LPE258	TSC2 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
165	SEQ	LPE262	APC Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
168	SEQ	LPE267	PTPN11 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
170	SEQ	LPE280	FGFR2 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
175	SEQ	LPE313	PRF1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
177	SEQ	LPE310	MEN1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
180	SEQ	LPE314	UNC13D Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
182	SEQ	LPE320	ATP7B Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
187	SEQ	LPE342	STAR Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
189	SEQ	LPE316	FANCA Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
192	SEQ	LPE356	COL1A2 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
194	SEQ	LPE354	COL1A1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
198	SEQ	LPE368	THRB Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
201	SEQ	LPE378	UGT1A1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
204	SEQ	LPE410	CSF3R Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
207	SEQ	LPE414	PKHD1 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
210	SEQ	LPE392	HBA2 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
213	SEQ	LPE436	EPOR Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
216	SEQ	LPE431	IKBKG Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
219	SEQ	LPE462	CHD7 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
222	SEQ	LPE482	AVP Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
224	SEQ	LPE495	SLC12A3 Gene Sequencing Analysis Report					"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
230	MLPA	LPE322	SMN1/2 Gene MLPA Analysis Report					"1. VHL 유전자에 대한 MLPA 분석결과, 질환과 관련된 VHL 유전자 결실/중복은 관찰되지 않습니다. 2. 폰 히펠-린다우증후군은 중추 신경계 혈관모세포종, 망막 혈관모세포종, 신세포암, 췌장낭, 부신수질의 갈색세포종(pheochromocytoma), 부고환의 낭선종 및 내이의 내림프낭 종양등 여러 장기에 발생하는 악성 및 양성 종양을 특징으로 하는 질환으로 상염색체 우성 유전양상의 단일 유전자 질환입니다. 염색체 3p25에 위치한 종양 억제 유전자인 VHL 유전자가 알려진 유일한 원인 유전자이며 환자의 약 90-100%에서 VHL 유전자에 대한 분자유전학적검사로 돌연변이가 검출되는 것으로 알려져 있습니다. VHL 돌연변이의 28%를 차지하는 VHL 유전자의 large (partial or whole) deletion은 본 MLPA검사를 통해 확인할 수 있습니다."	"* MLPA is designed to detect deletions/duplications of one or more sequences in the DMD gene in a DNA sample. Deletions of a probe’s recognition sequence on the X-chromosome will lead to a complete absence of the corresponding probe amplification product in males, whereas female heterozygotes are recognizable by a 35-50% reduction in relative peak area. Note that a mutation or polymorphism in the sequence detected by a probe can also cause a reduction in relative peak area, even when not located exactly on the ligation site! In addition, some probe signals are more sensitive to sample purity and small changes in experimental conditions. Therefore, deletions and duplications detected by MLPA should always be confirmed by other methods. Not all deletions and duplications detected by MLPA will be pathogenic; users should always verify the latest scientific literature when interpreting their findings. Note that other defects such as small point mutations will not be detected by this  MLPA test"
231	MLPA	LPE351	HBA1/2 Gene MLPA Analysis Report					"1. VHL 유전자에 대한 MLPA 분석결과, 질환과 관련된 VHL 유전자 결실/중복은 관찰되지 않습니다. 2. 폰 히펠-린다우증후군은 중추 신경계 혈관모세포종, 망막 혈관모세포종, 신세포암, 췌장낭, 부신수질의 갈색세포종(pheochromocytoma), 부고환의 낭선종 및 내이의 내림프낭 종양등 여러 장기에 발생하는 악성 및 양성 종양을 특징으로 하는 질환으로 상염색체 우성 유전양상의 단일 유전자 질환입니다. 염색체 3p25에 위치한 종양 억제 유전자인 VHL 유전자가 알려진 유일한 원인 유전자이며 환자의 약 90-100%에서 VHL 유전자에 대한 분자유전학적검사로 돌연변이가 검출되는 것으로 알려져 있습니다. VHL 돌연변이의 28%를 차지하는 VHL 유전자의 large (partial or whole) deletion은 본 MLPA검사를 통해 확인할 수 있습니다."	"* MLPA is designed to detect deletions/duplications of one or more sequences in the DMD gene in a DNA sample. Deletions of a probe’s recognition sequence on the X-chromosome will lead to a complete absence of the corresponding probe amplification product in males, whereas female heterozygotes are recognizable by a 35-50% reduction in relative peak area. Note that a mutation or polymorphism in the sequence detected by a probe can also cause a reduction in relative peak area, even when not located exactly on the ligation site! In addition, some probe signals are more sensitive to sample purity and small changes in experimental conditions. Therefore, deletions and duplications detected by MLPA should always be confirmed by other methods. Not all deletions and duplications detected by MLPA will be pathogenic; users should always verify the latest scientific literature when interpreting their findings. Note that other defects such as small point mutations will not be detected by this  MLPA test"
234	Genetic	LPE548	근긴장이상 질환 [NGS]	Dystonia (51 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
236	Genetic	LPE452	유전성 용혈성 빈혈 [NGS]	Hereditary hemolytic anemia (48 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
240	Genetic	LPE455	선천성 혈소판 감소증 [NGS]	Thrombocytopenia (89 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
243	Genetic	LPE489	선천성 면역결핍증 [NGS]	Primary Immunodeficiency (363 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
246	Genetic	LPE518	유전성 심근병증 [NGS]	Cardiomyopathy (170 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
247	Genetic	LPE499	다낭성 신장질환 [NGS]	Polycystic Kidney Disease (3 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
254	Genetic	LPE523	유전성 발달지연(DD/ASD) [NGS]	Developmental delay/Autism spectrum disorder (985 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
255	Genetic	LPE525	유전성 결합조직 질환 [NGS]	Connective tissue disorder (60 genes)				"대장암의 약 70% 정도에서 adenoma-cancer carcinogenesis에 의하여 생기며, 이러한 대장암의 발생"	본 검사는 reference sequence NM_000038.5를 기준으로 APC 유전자의 coding exon 및 인접 flanking region을 직접염기서열법으로 분석하는 방법입니다.
