id	gene	type	rowno	test_code
1	CEBPA	AML	1	NULL
2	RUNX1	AML	1	NULL
3	CBL	AML	1	NULL
4	DNMT3A	AML	1	NULL
5	FBXW7	AML	1	NULL
6	JAK1	AML	1	NULL
7	NOTCH1	AML	1	NULL
8	PRAME	AML	1	NULL
9	SF3B1	AML	1	NULL
10	TET2	AML	1	NULL
11	FLT3	AML	2	NULL
12	TP53	AML	2	NULL
13	CDKN2A	AML	2	NULL
14	EGFR	AML	2	NULL
15	GATA1	AML	2	NULL
16	JAK3	AML	2	NULL
17	NOTCH3	AML	2	NULL
18	PTEN	AML	2	NULL
19	SH2B3	AML	2	NULL
20	TPMT	AML	2	NULL
21	IDH1	AML	3	NULL
22	ANKRD26	AML	3	NULL
23	CDKN2B	AML	3	NULL
24	EP300	AML	3	NULL
25	GATA2	AML	3	NULL
26	KRAS	AML	3	NULL
27	NRAS	AML	3	NULL
28	PTPN11	AML	3	NULL
29	SMC1A	AML	3	NULL
30	U2AF1	AML	3	NULL
31	IDH2	AML	4	NULL
32	ASXL1	AML	4	NULL
33	CHEK1	AML	4	NULL
34	ERG	AML	4	NULL
35	GATA3	AML	4	NULL
36	KMT2A	AML	4	NULL
37	NT5C2	AML	4	NULL
38	RAD21	AML	4	NULL
39	SMC3	AML	4	NULL
40	WT1	AML	4	NULL
41	JAK2	AML	5	NULL
42	BCOR	AML	5	NULL
43	CREBBP	AML	5	NULL
44	ETV6	AML	5	NULL
45	HNRNPK	AML	5	NULL
46	MPL	AML	5	NULL
47	PAX5	AML	5	NULL
48	RB1	AML	5	NULL
49	SRSF2	AML	5	NULL
50	ZRSR2	AML	5	NULL
51	KIT	AML	6	NULL
52	BRAF	AML	6	NULL
53	CSF3R	AML	6	NULL
54	EZH2	AML	6	NULL
55	IKZF1	AML	6	NULL
56	MYC	AML	6	NULL
57	PDGFRA	AML	6	NULL
58	SETBP1	AML	6	NULL
59	STAG2	AML	6	NULL
60	NPM1	AML	7	NULL
61	CALR	AML	7	NULL
62	DDX41	AML	7	NULL
53199	BRINP3	ALL	NULL	
64	IL7R	AML	7	NULL
65	NF1	AML	7	NULL
66	PHF6	AML	7	NULL
67	SETD2	AML	7	NULL
68	TERT	AML	7	NULL
69	IKZF1	ALL	1	NULL
70	BCOR	ALL	1	NULL
71	CREBBP	ALL	1	NULL
72	ETV6	ALL	1	NULL
73	GATA3	ALL	1	NULL
74	KIT	ALL	1	NULL
75	NOTCH3	ALL	1	NULL
76	PTEN	ALL	1	NULL
77	SH2B3	ALL	1	NULL
78	TPMT	ALL	1	NULL
79	JAK2	ALL	2	NULL
80	BRAF	ALL	2	NULL
81	CSF3R	ALL	2	NULL
82	EZH2	ALL	2	NULL
83	HNRNPK	ALL	2	NULL
84	KRAS	ALL	2	NULL
85	NPM1	ALL	2	NULL
86	PTPN11	ALL	2	NULL
87	SMC1A	ALL	2	NULL
88	U2AF1	ALL	2	NULL
89	NRAS	ALL	3	NULL
90	CALR	ALL	3	NULL
91	DDX41	ALL	3	NULL
93	IDH1	ALL	3	NULL
94	KMT2A	ALL	3	NULL
95	NT5C2	ALL	3	NULL
96	RAD21	ALL	3	NULL
97	SMC3	ALL	3	NULL
98	WTI	ALL	3	NULL
99	TP53	ALL	4	NULL
100	CBL	ALL	4	NULL
101	DNMT3A	ALL	4	NULL
102	FBXW7	ALL	4	NULL
103	IDH2	ALL	4	NULL
104	MPL	ALL	4	NULL
105	PAX5	ALL	4	NULL
106	RUNX1	ALL	4	NULL
107	SRSF2	ALL	4	NULL
108	ZRSR2	ALL	4	NULL
109	RB1	ALL	5	NULL
110	CDKN2A	ALL	5	NULL
111	EGFR	ALL	5	NULL
112	FLT3	ALL	5	NULL
113	IL7R	ALL	5	NULL
114	MYC	ALL	5	NULL
115	PDGFRA	ALL	5	NULL
116	SETBP1	ALL	5	NULL
117	STAG2	ALL	5	NULL
118	ANKRD26	ALL	6	NULL
119	CDKN2B	ALL	6	NULL
120	EP300	ALL	6	NULL
121	GATA1	ALL	6	NULL
122	JAK1	ALL	6	NULL
123	NF1	ALL	6	NULL
124	PHF6	ALL	6	NULL
125	SETD2	ALL	6	NULL
126	TERT	ALL	6	NULL
127	ASXL1	ALL	7	NULL
128	CHEK1	ALL	7	NULL
129	ERG	ALL	7	NULL
130	GATA2	ALL	7	NULL
131	JAK3	ALL	7	NULL
132	NOTCH1	ALL	7	NULL
133	PRAME	ALL	7	NULL
134	SF3B1	ALL	7	NULL
135	TET2	ALL	7	NULL
270	test	aaa		NULL
51240	SLC26A3	genetic	NULL	LPE638
51262	STAT1	genetic	NULL	LPE638
51288	TERC	genetic	NULL	LPE638
51297	TINF2	genetic	NULL	LPE638
51326	UBE2T	genetic	NULL	LPE638
51333	USB1	genetic	NULL	LPE638
51339	WRAP53	genetic	NULL	LPE638
51346	ZAP70	genetic	NULL	LPE638
51347	ZFP36	genetic	NULL	LPE638
51377	FGF8	genetic	NULL	LPE639
51391	FOXF2	genetic	NULL	LPE639
51408	GAS1	genetic	NULL	LPE639
51410	GALNT3	genetic	NULL	LPE639
51412	GALNTL5	genetic	NULL	LPE639
51425	GNAI3	genetic	NULL	LPE639
51427	GLE1	genetic	NULL	LPE639
51436	GNS	genetic	NULL	LPE639
51457	HNF4A	genetic	NULL	LPE639
51488	IFT27	genetic	NULL	LPE639
51496	INSL3	genetic	NULL	LPE639
51526	KYNU	genetic	NULL	LPE639
51534	LEPR	genetic	NULL	LPE639
51538	LHX4	genetic	NULL	LPE639
51543	LMBR1	genetic	NULL	LPE639
51544	LMNA	genetic	NULL	LPE639
51577	MEIS2	genetic	NULL	LPE639
51589	MKS1	genetic	NULL	LPE639
51600	MYH8	genetic	NULL	LPE639
51614	NEDD4L	genetic	NULL	LPE639
51621	NFIX	genetic	NULL	LPE639
51622	NLRP3	genetic	NULL	LPE639
51632	NOTCH1	genetic	NULL	LPE639
51633	NPHP3	genetic	NULL	LPE639
51653	OPHN1	genetic	NULL	LPE639
51689	PHF6	genetic	NULL	LPE639
51696	PIGV	genetic	NULL	LPE639
51725	PRDM5	genetic	NULL	LPE639
51735	PROK2	genetic	NULL	LPE639
51738	PTCH1	genetic	NULL	LPE639
51743	PTH1R	genetic	NULL	LPE639
51744	PUF60	genetic	NULL	LPE639
51779	RRAS	genetic	NULL	LPE639
51788	SATB2	genetic	NULL	LPE639
51795	SERPINF1	genetic	NULL	LPE639
51818	SLC17A5	genetic	NULL	LPE639
51820	SLC29A3	genetic	NULL	LPE639
51823	SLC2A10	genetic	NULL	LPE639
51830	SMAD2	genetic	NULL	LPE639
51834	SMAD3	genetic	NULL	LPE639
51851	SOS1	genetic	NULL	LPE639
51889	TAC3	genetic	NULL	LPE639
51893	TBC1D4	genetic	NULL	LPE639
51925	TMEM231	genetic	NULL	LPE639
51934	TNNT3	genetic	NULL	LPE639
51935	TP63	genetic	NULL	LPE639
51945	TRPS1	genetic	NULL	LPE639
51947	TSC2	genetic	NULL	LPE639
51977	WT1	genetic	NULL	LPE639
51987	ZFPM2	genetic	NULL	LPE639
51995	ZNF141	genetic	NULL	LPE639
52019	AGTR1	genetic	NULL	LPE517
52021	AGXT	genetic	NULL	LPE517
52028	ALG8	genetic	NULL	LPE517
52029	ALG9	genetic	NULL	LPE517
